mass,position,trial,type,x,y,theta
large,left,1,external,-195.817154,92.155708,3.1301119391657752
large,left,1,internal,29.799999999999997,-35.3,-1.84
large,left,2,external,-195.80452,92.174934,3.125034418815317
large,left,2,internal,29.799999999999997,-35.3,-1.85
large,left,3,external,-195.764999,92.165535,3.126856821834916
large,left,3,internal,29.799999999999997,-35.3,-1.87
large,left,4,external,-195.759171,92.160393,3.127960478509579
large,left,4,internal,29.799999999999997,-35.3,-1.86
large,left,5,external,-195.801407,92.172134,3.129732185991356
large,left,5,internal,29.799999999999997,-35.3,-1.85
large,left,6,external,-195.678131,92.164505,3.1249709196444173
large,left,6,internal,29.799999999999997,-35.3,-1.86
large,left,7,external,-195.826859,92.170029,3.12780533983941
large,left,7,internal,29.799999999999997,-35.3,-1.85
large,left,8,external,-195.819351,92.156807,3.130577129431848
large,left,8,internal,29.799999999999997,-35.3,-1.86
large,left,9,external,-195.759201,92.182426,3.1295334855730426
large,left,9,internal,29.799999999999997,-35.3,-1.87
large,left,10,external,-195.866577,92.162666,3.1298173471829176
large,left,10,internal,29.799999999999997,-35.3,-1.85
large,left,11,external,-195.705765,92.188751,3.127096500355572
large,left,11,internal,29.799999999999997,-35.3,-1.87
large,left,12,external,-195.782196,92.174606,3.125680140285754
large,left,12,internal,29.799999999999997,-35.3,-1.86
large,left,13,external,-195.752701,92.174904,3.126248542679145
large,left,13,internal,29.799999999999997,-35.3,-1.85
large,left,14,external,-195.846222,92.164589,3.13020626233044
large,left,14,internal,29.799999999999997,-35.3,-1.86
large,left,15,external,-195.738037,92.175774,3.124299549134437
large,left,15,internal,29.799999999999997,-35.3,-1.87
large,left,16,external,-195.786331,92.173698,3.1283234084719016
large,left,16,internal,29.799999999999997,-35.3,-1.84
large,left,17,external,-195.758499,92.170158,3.1277233471457317
large,left,17,internal,29.799999999999997,-35.3,-1.85
large,left,18,external,-195.740768,92.14476,3.136290126024105
large,left,18,internal,29.799999999999997,-35.3,-1.85
large,left,19,external,-195.806122,92.181015,3.131970818692854
large,left,19,internal,29.799999999999997,-35.3,-1.85
large,left,20,external,-195.667511,92.11525,3.135568255974292
large,left,20,internal,29.799999999999997,-35.3,-1.84
large,left,21,external,-195.783478,92.150047,3.135710234465202
large,left,21,internal,29.799999999999997,-35.3,-1.85
large,left,22,external,-195.746643,92.188759,3.123310281008379
large,left,22,internal,29.799999999999997,-35.3,-1.85
large,left,23,external,-195.751877,92.101418,3.1360409252618275
large,left,23,internal,29.799999999999997,-35.3,-1.9
